[Timestamp;Sample number;dirOffsetM0T0;C0;V0[mV];W0;C1;V1[mV];W1;C2;V2[mV];W2;Direct M0 TS0;]
2023-05-23_143957;50;-53187;1.182604e-01;3.278256e-03;2.042740e+00;1.182604e-01;3.278256e-03;2.042740e+00;0.000000e+00;0.000000e+00;nan;424154 425834 427512 429195 430882 432566 434254 435930 437597 439265 440939 442610 444278 445949 447622 449290 450963 452635 454301 455961 457627 459296 460961 462627 464295 465953 467616 469279 470945 472611 474270 475924 477578 479237 480890 482544 484202 485858 487511 489165 490821 492476 494123 495770 497422 499064 500709 502360 504009 505655 507302 508950 510594 512235 513873 515507 517143 518778 520419 522056 523693 525333 526966 528602 530239 531865 533497 535131 536767 538397 540032 541665 543302 544943 546587 548227 549857 551489 553127 554760 556399 558040 559677 561317 562958 564597 566239 567880 569516 571152 572791 574427 576058 577690 579322 580956 582583 584203 585811 587406 589000 590588 592161 593719 595274 596810 598329 599837 601324 602786 604226 605646 607048 608423 609786 611134 612465 613787 615112 616444 617790 619159 620557 621999 623506 625072 626707 628420 630200 632052 633973 635956 637992 640064 642172 644308 646459 648625 650800 652973 655144 657314 659477 661624 663755 665870 667974 670066 672153 674233 676299 678361 680412 682452 684480 686500 688507 690509 692511 694504 696486 698470 700445 702406 704372 706336 708287 710224 712157 714090 716013 717935 719856 721767 723673 725580 727484 729386 731285 733175 735059 736946 738827 740708 742587 744468 746351 748235 750118 751991 753855 755719 757592 759461 761329 763200 765069 766935 768801 770664 772522 774379 776232 778079 779923 781774 783627 785472 787310 789143 790974 792799 794622 796431 798237 800044 801841 803636 805424 807206 808979 810751 812526 814296 816050 817803 819554 821296 823039 824778 826514 828248 829984 831717 833442 835162 836875 838576 840281 841988 843692 845386 847083 848776 850458 852137 853810 855473 857128 858781 860426 862062 863701 865327 866944 868557 ;
2023-05-23_144007;51;-53133;6.682280e-02;3.874302e-03;2.559715e+00;6.682280e-02;3.874302e-03;2.559715e+00;0.000000e+00;0.000000e+00;nan;423940 425618 427297 428978 430662 432343 434024 435699 437368 439038 440712 442374 444042 445714 447385 449054 450722 452389 454050 455712 457378 459045 460706 462371 464034 465694 467354 469020 470683 472346 474004 475657 477308 478967 480620 482273 483930 485583 487234 488886 490544 492202 493846 495493 497140 498785 500427 502079 503725 505371 507014 508663 510306 511948 513585 515218 516851 518489 520127 521763 523396 525034 526668 528305 529942 531569 533199 534830 536461 538092 539726 541357 542987 544628 546265 547898 549526 551154 552792 554424 556060 557697 559332 560969 562608 564250 565885 567525 569158 570789 572427 574058 575687 577315 578942 580571 582197 583820 585432 587028 588620 590205 591777 593335 594891 596430 597954 599464 600950 602414 603853 605279 606683 608064 609424 610771 612099 613420 614744 616073 617411 618774 620167 621608 623109 624668 626297 628001 629778 631629 633548 635532 637566 639639 641747 643883 646033 648195 650367 652536 654701 656867 659028 661174 663303 665414 667506 669588 671669 673752 675813 677864 679908 681939 683968 685984 687992 689991 691991 693977 695957 697940 699912 701874 703840 705803 707757 709694 711624 713556 715477 717399 719322 721232 723139 725045 726949 728849 730747 732639 734523 736409 738289 740164 742041 743926 745808 747691 749574 751446 753310 755176 757047 758911 760774 762645 764510 766375 768244 770104 771962 773821 775676 777526 779371 781216 783066 784909 786752 788593 790422 792245 794066 795876 797682 799490 801292 803082 804875 806664 808442 810216 811989 813757 815514 817267 819021 820760 822504 824250 825984 827716 829445 831180 832904 834622 836334 838041 839746 841451 843159 844856 846548 848240 849922 851602 853273 854933 856591 858250 859899 861536 863171 864797 866415 868034 ;
2023-05-23_144017;52;-53118;1.415061e-01;5.960465e-03;1.655336e+00;1.415061e-01;5.960465e-03;1.655336e+00;0.000000e+00;0.000000e+00;nan;423938 425612 427289 428970 430654 432336 434018 435693 437357 439026 440699 442362 444028 445697 447364 449028 450695 452362 454024 455684 457347 459011 460672 462334 463999 465657 467318 468983 470648 472309 473967 475615 477267 478925 480576 482224 483881 485533 487187 488837 490492 492145 493792 495442 497092 498732 500375 502027 503674 505316 506963 508608 510252 511894 513528 515162 516795 518433 520073 521706 523344 524980 526612 528245 529880 531510 533141 534772 536404 538032 539664 541295 542925 544561 546200 547833 549462 551090 552723 554353 555986 557622 559255 560888 562527 564168 565801 567435 569068 570699 572336 573968 575596 577220 578847 580478 582104 583725 585334 586931 588522 590108 591684 593248 594802 596341 597862 599374 600866 602335 603780 605205 606611 607993 609355 610703 612031 613353 614674 616003 617339 618699 620088 621518 623009 624561 626181 627882 629656 631501 633416 635396 637429 639500 641609 643746 645895 648054 650226 652393 654554 656718 658876 661018 663143 665248 667339 669422 671500 673571 675628 677678 679721 681755 683778 685793 687793 689787 691782 693768 695748 697729 699699 701665 703630 705592 707543 709481 711416 713351 715276 717198 719121 721031 722941 724850 726753 728650 730544 732434 734321 736206 738089 739967 741842 743725 745611 747495 749378 751247 753110 754974 756843 758709 760573 762444 764310 766172 768040 769902 771764 773621 775473 777322 779165 781019 782868 784713 786553 788391 790227 792053 793877 795693 797500 799309 801105 802902 804698 806489 808266 810041 811815 813585 815345 817103 818857 820603 822351 824090 825823 827554 829288 831023 832746 834463 836169 837874 839576 841282 842989 844690 846385 848075 849758 851436 853109 854774 856429 858091 859739 861379 863020 864649 866270 867884 ;
2023-05-23_144027;53;-53080;1.040215e-01;3.874302e-03;1.676919e+00;1.040215e-01;3.874302e-03;1.676919e+00;0.000000e+00;0.000000e+00;nan;423774 425449 427124 428803 430482 432164 433844 435513 437174 438841 440514 442177 443843 445512 447180 448846 450512 452176 453835 455491 457151 458816 460475 462137 463799 465457 467113 468775 470435 472093 473754 475405 477056 478713 480365 482014 483669 485323 486975 488627 490281 491936 493582 495230 496880 498522 500162 501812 503458 505099 506749 508399 510045 511684 513317 514949 516580 518217 519856 521491 523127 524765 526399 528033 529665 531291 532917 534551 536179 537807 539441 541069 542697 544329 545963 547595 549222 550849 552479 554107 555740 557374 559004 560633 562269 563902 565538 567175 568801 570431 572062 573689 575314 576935 578562 580190 581811 583430 585036 586632 588226 589810 591384 592950 594507 596050 597572 599085 600577 602048 603495 604927 606341 607726 609093 610440 611771 613090 614410 615731 617062 618415 619793 621218 622700 624245 625858 627553 629324 631168 633078 635058 637088 639161 641271 643408 645554 647717 649889 652052 654213 656371 658526 660664 662789 664893 666982 669055 671130 673202 675253 677298 679337 681362 683383 685395 687392 689384 691380 693365 695342 697317 699282 701252 703218 705180 707128 709065 711003 712939 714868 716791 718713 720628 722536 724446 726352 728254 730154 732041 733925 735813 737694 739572 741449 743332 745211 747094 748970 750843 752702 754566 756435 758296 760161 762026 763892 765752 767619 769482 771340 773199 775052 776896 778744 780592 782446 784289 786129 787968 789802 791631 793453 795269 797078 798890 800695 802492 804290 806078 807858 809629 811404 813176 814931 816690 818441 820185 821931 823674 825405 827134 828870 830604 832329 834049 835758 837460 839163 840868 842569 844268 845961 847651 849334 851013 852686 854349 856012 857674 859328 860969 862609 864238 865859 867480 ;
2023-05-23_144037;54;-53052;1.228595e-01;-2.086163e-03;1.472856e+00;1.228595e-01;-2.086163e-03;1.472856e+00;0.000000e+00;0.000000e+00;nan;423737 425413 427088 428765 430448 432129 433808 435478 437139 438803 440471 442134 443798 445468 447133 448796 450457 452119 453779 455436 457095 458758 460416 462073 463731 465388 467047 468708 470369 472026 473682 475333 476985 478641 480289 481938 483594 485247 486898 488549 490201 491856 493500 495148 496799 498440 500084 501732 503376 505020 506666 508313 509956 511597 513228 514860 516494 518132 519776 521413 523046 524683 526321 527952 529584 531207 532834 534465 536094 537723 539354 540982 542612 544245 545876 547504 549126 550754 552385 554013 555642 557275 558903 560531 562165 563797 565430 567064 568690 570310 571939 573565 575186 576808 578433 580056 581680 583299 584907 586499 588089 589675 591249 592819 594378 595922 597449 598961 600456 601926 603376 604807 606219 607608 608975 610327 611661 612984 614300 615619 616949 618298 619673 621087 622559 624095 625702 627391 629152 630987 632894 634867 636901 638971 641086 643222 645371 647535 649705 651867 654025 656184 658334 660468 662589 664690 666777 668852 670922 672985 675034 677078 679113 681134 683152 685163 687158 689149 691141 693126 695100 697077 699045 701006 702971 704930 706887 708828 710765 712701 714629 716555 718482 720397 722303 724215 726121 728020 729919 731808 733693 735579 737462 739347 741223 743106 744990 746869 748749 750619 752479 754341 756205 758072 759934 761803 763665 765525 767389 769249 771109 772970 774819 776668 778517 780364 782213 784056 785897 787739 789572 791402 793229 795044 796857 798665 800472 802268 804065 805854 807639 809418 811195 812968 814729 816487 818246 819991 821733 823472 825204 826934 828671 830405 832131 833849 835559 837263 838964 840669 842372 844068 845762 847453 849139 850819 852498 854165 855822 857483 859138 860784 862430 864061 865685 867303 ;
2023-05-23_144047;55;-53027;9.144314e-02;-6.854535e-03;1.737854e+00;9.144314e-02;-6.854535e-03;1.737854e+00;0.000000e+00;0.000000e+00;nan;423637 425311 426983 428661 430339 432018 433695 435364 437028 438693 440360 442021 443681 445348 447009 448670 450334 451999 453653 455306 456965 458625 460281 461935 463594 465249 466905 468564 470222 471881 473536 475184 476832 478486 480137 481790 483444 485094 486742 488392 490043 491694 493340 494989 496636 498278 499921 501568 503212 504856 506503 508151 509795 511432 513065 514696 516327 517967 519608 521245 522879 524514 526147 527784 529416 531041 532668 534297 535925 537556 539184 540810 542433 544066 545697 547328 548952 550576 552203 553827 555455 557088 558714 560339 561968 563599 565228 566857 568482 570104 571733 573354 574976 576597 578219 579842 581461 583077 584682 586275 587865 589448 591022 592587 594147 595695 597225 598741 600237 601710 603165 604603 606019 607404 608776 610133 611465 612789 614105 615422 616747 618090 619455 620863 622332 623858 625457 627135 628890 630719 632625 634600 636632 638702 640812 642947 645098 647262 649433 651597 653755 655914 658062 660193 662309 664405 666487 668559 670627 672692 674739 676774 678803 680820 682832 684835 686827 688816 690805 692785 694758 696733 698701 700663 702627 704592 706544 708487 710424 712357 714284 716206 718130 720048 721964 723877 725784 727686 729586 731480 733367 735257 737138 739018 740892 742774 744655 746537 748414 750280 752140 754001 755872 757737 759601 761468 763328 765185 767048 768907 770766 772622 774471 776317 778160 780014 781867 783710 785549 787387 789223 791055 792881 794700 796513 798325 800131 801931 803731 805526 807307 809085 810862 812633 814398 816156 817911 819658 821405 823145 824881 826613 828349 830081 831803 833518 835223 836927 838631 840335 842040 843731 845428 847122 848808 850491 852164 853829 855491 857152 858804 860450 862099 863732 865359 866988 ;
2023-05-23_144057;56;-53025;1.050703e-01;5.364418e-03;1.306885e+00;1.050703e-01;5.364418e-03;1.306885e+00;0.000000e+00;0.000000e+00;nan;423637 425312 426983 428660 430341 432021 433697 435365 437026 438685 440350 442012 443674 445338 447001 448660 450322 451981 453637 455289 456947 458607 460260 461916 463571 465226 466882 468541 470197 471856 473509 475158 476808 478460 480110 481757 483412 485063 486711 488360 490012 491663 493308 494956 496605 498247 499890 501537 503182 504822 506470 508117 509760 511400 513034 514668 516301 517936 519577 521212 522850 524488 526119 527754 529389 531014 532636 534268 535896 537525 539157 540784 542409 544039 545672 547298 548919 550543 552172 553794 555421 557051 558672 560296 561925 563554 565179 566805 568424 570046 571673 573297 574916 576534 578153 579772 581392 583008 584616 586210 587800 589384 590957 592521 594081 595627 597157 598678 600179 601659 603115 604555 605975 607367 608739 610094 611429 612750 614070 615387 616709 618043 619401 620806 622268 623788 625377 627050 628799 630626 632525 634495 636523 638593 640703 642844 644995 647161 649332 651496 653653 655808 657952 660085 662202 664298 666378 668450 670512 672569 674610 676644 678672 680687 682697 684698 686689 688672 690659 692638 694611 696584 698549 700508 702471 704433 706386 708326 710264 712201 714131 716060 717986 719903 721817 723730 725639 727544 729446 731344 733232 735119 737003 738881 740759 742639 744521 746402 748282 750152 752015 753878 755742 757603 759464 761332 763199 765057 766920 768780 770638 772492 774343 776190 778032 779883 781737 783583 785425 787263 789101 790932 792760 794579 796395 798207 800012 801812 803614 805407 807196 808981 810762 812542 814304 816065 817821 819569 821313 823058 824794 826525 828257 829990 831714 833434 835141 836842 838539 840245 841946 843643 845339 847029 848718 850401 852079 853747 855407 857074 858730 860375 862020 863659 865290 866915 ;
2023-05-23_144107;57;-53025;2.880718e-01;-2.980233e-04;1.652767e+00;2.880718e-01;-2.980233e-04;1.652767e+00;0.000000e+00;0.000000e+00;nan;423741 425416 427089 428766 430445 432121 433796 435465 437126 438788 440454 442113 443771 445437 447100 448760 450421 452081 453734 455388 457044 458703 460357 462011 463670 465322 466974 468631 470288 471943 473595 475243 476891 478542 480194 481842 483495 485145 486791 488439 490091 491743 493389 495036 496684 498325 499967 501617 503262 504905 506554 508201 509847 511489 513122 514755 516388 518026 519664 521300 522939 524577 526209 527841 529473 531097 532726 534359 535987 537610 539237 540866 542494 544126 545759 547384 549005 550626 552251 553873 555497 557124 558749 560374 562003 563629 565254 566881 568502 570121 571747 573367 574983 576597 578216 579836 581456 583066 584668 586257 587845 589436 591009 592576 594136 595682 597212 598733 600235 601719 603182 604624 606045 607443 608818 610178 611513 612838 614157 615472 616793 618128 619483 620878 622328 623837 625420 627085 628826 630643 632539 634508 636536 638606 640716 642854 645005 647171 649345 651512 653669 655828 657974 660105 662218 664313 666391 668459 670524 672581 674622 676652 678674 680686 682694 684693 686681 688663 690647 692622 694592 696565 698533 700492 702452 704412 706364 708302 710242 712180 714111 716043 717971 719892 721810 723723 725635 727537 729439 731333 733225 735120 737005 738884 740760 742641 744524 746407 748289 750159 752020 753884 755753 757612 759472 761336 763196 765060 766923 768787 770645 772499 774352 776198 778046 779894 781743 783588 785431 787276 789115 790950 792782 794597 796414 798230 800039 801846 803651 805445 807230 809014 810800 812577 814346 816106 817865 819617 821361 823106 824841 826575 828313 830046 831773 833489 835198 836902 838601 840306 842011 843711 845406 847097 848781 850465 852143 853810 855474 857140 858797 860448 862097 863739 865371 866999 ;
2023-05-23_144117;58;-52981;4.049326e-02;1.788140e-03;1.859310e+00;4.049326e-02;1.788140e-03;1.859310e+00;0.000000e+00;0.000000e+00;nan;423606 425279 426950 428627 430306 431982 433655 435321 436978 438642 440305 441965 443625 445287 446947 448602 450263 451919 453576 455229 456885 458543 460193 461844 463498 465147 466798 468457 470114 471768 473416 475060 476706 478357 480007 481654 483303 484951 486598 488250 489902 491557 493199 494845 496491 498133 499775 501421 503065 504709 506357 508005 509648 511289 512924 514557 516189 517828 519466 521103 522738 524373 526006 527641 529278 530903 532528 534158 535786 537413 539042 540667 542292 543920 545552 547176 548798 550423 552049 553668 555290 556914 558536 560159 561785 563413 565035 566657 568279 569897 571518 573136 574750 576363 577976 579594 581210 582821 584419 586011 587597 589183 590756 592321 593883 595434 596969 598495 599999 601484 602943 604388 605813 607214 608595 609958 611297 612625 613941 615254 616570 617900 619254 620643 622085 623587 625159 626813 628546 630356 632248 634214 636236 638305 640416 642556 644710 646880 649053 651219 653379 655537 657684 659810 661926 664017 666092 668156 670216 672270 674308 676337 678355 680365 682369 684364 686347 688324 690303 692279 694246 696216 698180 700139 702099 704054 706004 707942 709882 711819 713751 715681 717613 719533 721451 723371 725282 727189 729092 730987 732879 734769 736658 738539 740419 742302 744187 746067 747944 749813 751676 753539 755405 757268 759129 760991 762851 764710 766570 768430 770288 772143 773995 775842 777688 779538 781388 783230 785071 786912 788754 790590 792421 794242 796058 797874 799683 801488 803294 805090 806882 808666 810451 812229 813999 815762 817524 819276 821025 822770 824507 826239 827974 829707 831432 833149 834854 836559 838257 839961 841668 843365 845063 846751 848437 850121 851799 853465 855127 856792 858455 860104 861757 863398 865031 866663 ;
2023-05-23_144127;59;-52943;7.333697e-02;5.662442e-03;1.007800e+01;7.333697e-02;5.662442e-03;1.007800e+01;0.000000e+00;0.000000e+00;nan;423519 425190 426864 428539 430215 431890 433565 435232 436891 438551 440212 441870 443529 445191 446851 448506 450168 451824 453474 455123 456777 458434 460084 461735 463384 465032 466682 468338 469993 471645 473293 474937 476580 478230 479873 481521 483175 484824 486471 488117 489768 491419 493061 494704 496352 497994 499632 501282 502926 504566 506211 507860 509503 511146 512777 514408 516038 517676 519320 520959 522593 524227 525858 527491 529125 530751 532376 534007 535635 537261 538890 540516 542137 543766 545394 547018 548637 550258 551881 553500 555124 556748 558366 559984 561609 563232 564856 566478 568096 569711 571329 572943 574556 576167 577779 579395 581008 582618 584218 585807 587392 588976 590546 592112 593676 595226 596760 598283 599789 601276 602743 604192 605619 607019 608401 609765 611106 612433 613751 615064 616382 617709 619053 620435 621871 623363 624924 626567 628294 630099 631982 633944 635968 638032 640145 642285 644440 646606 648783 650951 653113 655272 657419 659548 661659 663746 665822 667883 669941 671990 674022 676048 678064 680069 682070 684063 686045 688019 689994 691964 693931 695896 697854 699808 701767 703728 705677 707618 709551 711489 713422 715353 717284 719204 721119 723035 724950 726861 728770 730664 732553 734447 736335 738221 740096 741980 743863 745746 747623 749492 751353 753217 755083 756943 758805 760671 762528 764387 766246 768104 769959 771817 773671 775516 777358 779208 781057 782902 784743 786585 788427 790262 792092 793915 795728 797547 799360 801165 802975 804777 806569 808356 810142 811923 813695 815462 817221 818971 820716 822465 824202 825937 827668 829400 831126 832843 834555 836258 837961 839664 841364 843061 844756 846448 848133 849819 851498 853169 854835 856501 858157 859809 861460 863100 864734 866370 ;
