[Timestamp;Sample number;dirOffsetM0T1;C0;V0[mV];W0;C1;V1[mV];W1;C2;V2[mV];W2;Direct M0 TS1;]
2023-05-12_135730;29;3526;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;1.288726e-02;8.940698e-04;1.025203e-01;70885 71012 71136 71261 71384 71510 71632 71756 71878 72002 72123 72245 72367 72487 72608 72729 72848 72967 73087 73207 73326 73445 73562 73680 73799 73918 74036 74153 74271 74386 74504 74621 74736 74853 74967 75082 75196 75310 75425 75538 75651 75763 75875 75987 76098 76210 76322 76432 76543 76654 76766 76878 76992 77104 77215 77328 77440 77553 77666 77777 77888 78000 78111 78221 78331 78443 78551 78663 78771 78882 78991 79099 79208 79316 79425 79533 79641 79748 79856 79963 80069 80176 80283 80390 80498 80606 80712 80819 80928 81036 81145 81255 81364 81472 81582 81690 81797 81903 82008 82108 82206 82302 82393 82483 82568 82649 82725 82797 82862 82923 82970 83012 83040 83056 83057 83040 83002 82943 82862 82754 82622 82465 82289 82105 81929 81779 81683 81662 81737 81915 82188 82540 82947 83383 83820 84245 84646 85022 85365 85677 85964 86228 86470 86698 86911 87117 87315 87508 87697 87882 88061 88236 88401 88562 88717 88867 89012 89150 89284 89414 89537 89660 89777 89891 90000 90110 90216 90323 90429 90535 90638 90740 90840 90939 91033 91128 91223 91318 91416 91516 91619 91724 91831 91940 92047 92154 92261 92368 92475 92584 92690 92801 92910 93022 93135 93247 93361 93472 93585 93696 93808 93920 94032 94145 94257 94372 94487 94604 94723 94847 94970 95096 95222 95346 95471 95594 95719 95842 95964 96088 96211 96336 96460 96583 96703 96826 96946 97066 97181 97297 97411 97524 97637 97750 97863 97977 98089 98202 98312 98422 98531 98638 98745 98850 98954 99058 99160 99261 99358 99452 99544 99629 99712 99789 99863 99934 ;
2023-05-12_135740;30;3526;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;4.123012e-01;-3.874302e-03;1.075525e+00;70833 70958 71081 71206 71332 71457 71582 71705 71827 71950 72071 72193 72315 72436 72557 72676 72797 72916 73036 73156 73275 73394 73512 73632 73748 73868 73985 74102 74220 74337 74453 74569 74686 74800 74917 75032 75147 75261 75375 75488 75600 75713 75825 75936 76048 76158 76268 76380 76491 76603 76714 76825 76938 77049 77162 77275 77386 77499 77610 77722 77833 77944 78054 78165 78275 78386 78496 78606 78715 78824 78933 79042 79151 79260 79367 79474 79582 79691 79796 79903 80010 80117 80225 80330 80437 80543 80651 80758 80865 80974 81081 81190 81298 81408 81515 81623 81730 81835 81938 82039 82138 82233 82323 82413 82498 82578 82654 82726 82792 82849 82898 82938 82968 82982 82983 82965 82928 82870 82787 82679 82545 82388 82212 82027 81853 81702 81606 81585 81657 81834 82106 82457 82863 83297 83734 84158 84560 84933 85276 85590 85877 86140 86384 86609 86823 87027 87226 87419 87608 87792 87971 88143 88310 88468 88624 88773 88916 89055 89190 89320 89445 89565 89683 89796 89906 90014 90122 90227 90331 90436 90538 90640 90739 90837 90933 91027 91122 91216 91313 91413 91517 91622 91728 91835 91944 92050 92158 92264 92370 92477 92585 92694 92804 92915 93025 93136 93250 93362 93474 93587 93698 93810 93920 94031 94143 94257 94373 94489 94608 94730 94853 94980 95106 95230 95355 95477 95602 95725 95848 95971 96094 96217 96342 96465 96588 96707 96828 96946 97062 97178 97294 97407 97519 97632 97744 97857 97968 98080 98191 98301 98410 98518 98623 98727 98833 98935 99037 99138 99236 99330 99421 99508 99590 99670 99744 99815 ;
2023-05-12_135750;31;3534;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;8.432668e-01;0.000000e+00;1.024487e+00;70750 70875 71000 71124 71249 71372 71497 71620 71741 71865 71985 72107 72229 72349 72470 72591 72710 72830 72949 73067 73187 73305 73423 73540 73657 73777 73895 74011 74128 74245 74361 74477 74593 74709 74825 74937 75052 75167 75280 75393 75506 75618 75730 75842 75954 76065 76175 76286 76397 76507 76618 76729 76842 76953 77065 77176 77287 77399 77511 77622 77733 77844 77955 78065 78174 78284 78394 78504 78613 78722 78831 78939 79048 79155 79265 79370 79479 79586 79693 79798 79906 80011 80119 80226 80332 80438 80544 80652 80760 80867 80977 81085 81192 81302 81410 81518 81624 81730 81834 81935 82034 82128 82220 82309 82394 82476 82553 82623 82689 82747 82798 82837 82866 82881 82882 82866 82827 82768 82687 82579 82447 82289 82115 81931 81755 81605 81509 81485 81559 81737 82008 82359 82766 83198 83634 84059 84459 84831 85176 85489 85776 86039 86283 86509 86723 86928 87125 87318 87507 87690 87867 88040 88205 88364 88518 88666 88811 88948 89082 89210 89336 89456 89574 89687 89797 89905 90011 90118 90221 90326 90428 90529 90629 90726 90822 90917 91010 91105 91202 91301 91405 91511 91617 91725 91832 91939 92043 92152 92259 92365 92474 92583 92692 92803 92915 93026 93139 93251 93362 93475 93588 93699 93812 93923 94037 94149 94264 94380 94500 94622 94743 94867 94992 95117 95241 95365 95487 95608 95730 95852 95974 96095 96219 96341 96463 96583 96702 96818 96935 97048 97162 97275 97386 97497 97610 97721 97833 97944 98055 98165 98271 98379 98484 98588 98692 98795 98897 98997 99095 99191 99281 99368 99452 99530 99604 99677 ;
2023-05-12_135800;32;3549;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;-2.114446e-02;6.556511e-03;-1.325789e+00;70625 70749 70872 70997 71121 71246 71371 71493 71615 71738 71859 71980 72101 72221 72344 72463 72582 72702 72822 72940 73059 73177 73295 73414 73531 73649 73766 73882 74000 74117 74234 74350 74466 74581 74696 74810 74926 75040 75154 75267 75381 75494 75605 75714 75827 75937 76048 76160 76269 76382 76493 76605 76717 76829 76940 77052 77164 77276 77389 77501 77611 77722 77835 77946 78056 78165 78274 78384 78495 78603 78713 78822 78931 79041 79148 79258 79365 79472 79579 79687 79795 79901 80009 80116 80223 80331 80439 80546 80656 80763 80872 80982 81092 81201 81309 81420 81526 81632 81736 81838 81938 82033 82125 82216 82303 82384 82460 82532 82598 82656 82707 82748 82777 82793 82794 82778 82744 82685 82605 82498 82367 82211 82036 81856 81680 81532 81436 81415 81489 81664 81937 82287 82694 83128 83565 83989 84390 84764 85106 85420 85707 85971 86215 86441 86655 86861 87058 87252 87441 87625 87805 87977 88144 88303 88458 88607 88750 88889 89024 89154 89280 89402 89518 89633 89744 89852 89959 90065 90169 90272 90374 90475 90575 90673 90769 90862 90956 91050 91147 91248 91350 91454 91560 91667 91773 91878 91985 92091 92198 92304 92410 92518 92626 92737 92846 92956 93068 93178 93290 93399 93511 93621 93731 93841 93952 94064 94178 94292 94410 94528 94653 94775 94898 95023 95146 95269 95390 95513 95634 95756 95878 96000 96122 96243 96365 96484 96604 96721 96838 96952 97066 97178 97288 97400 97512 97623 97734 97844 97953 98062 98170 98276 98382 98487 98591 98692 98794 98895 98992 99089 99180 99268 99352 99432 99506 99579 ;
2023-05-12_135810;33;3552;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;1.690503e-02;5.662442e-03;5.225188e-01;70637 70762 70886 71009 71136 71260 71382 71505 71628 71750 71871 71993 72114 72235 72354 72474 72594 72713 72832 72950 73070 73187 73304 73421 73539 73657 73772 73888 74006 74123 74240 74355 74471 74585 74701 74814 74929 75043 75156 75271 75382 75494 75606 75718 75828 75938 76048 76160 76270 76382 76492 76604 76715 76826 76938 77048 77160 77272 77383 77496 77607 77719 77829 77939 78050 78160 78269 78378 78489 78597 78707 78816 78924 79032 79142 79249 79356 79464 79569 79676 79782 79888 79995 80100 80207 80312 80420 80526 80632 80741 80847 80955 81062 81171 81278 81386 81493 81598 81701 81802 81902 81997 82089 82177 82262 82342 82420 82491 82556 82613 82663 82702 82731 82746 82747 82730 82694 82636 82554 82445 82312 82156 81981 81796 81621 81471 81373 81351 81423 81597 81868 82217 82622 83052 83488 83912 84311 84682 85025 85337 85623 85887 86129 86355 86569 86773 86970 87162 87351 87534 87712 87884 88048 88206 88360 88507 88649 88785 88920 89047 89174 89294 89410 89523 89633 89741 89847 89951 90053 90156 90258 90358 90456 90553 90649 90743 90836 90931 91029 91126 91229 91332 91439 91545 91652 91759 91866 91971 92078 92184 92293 92400 92509 92620 92730 92842 92955 93065 93177 93289 93401 93513 93624 93735 93847 93958 94073 94189 94307 94429 94550 94675 94800 94924 95050 95174 95298 95420 95543 95667 95788 95911 96036 96159 96282 96403 96523 96642 96761 96877 96991 97104 97217 97330 97441 97556 97667 97779 97890 98001 98111 98219 98327 98432 98537 98640 98742 98844 98943 99039 99132 99220 99304 99382 99458 99530 ;
2023-05-12_135820;34;3567;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;4.426715e-02;-3.576279e-03;9.473137e-01;70560 70686 70811 70935 71058 71180 71306 71428 71552 71675 71798 71916 72037 72158 72279 72399 72519 72636 72756 72874 72994 73112 73229 73347 73465 73581 73699 73815 73932 74049 74164 74280 74395 74511 74626 74741 74856 74970 75084 75198 75311 75424 75536 75647 75758 75869 75980 76090 76201 76312 76423 76536 76646 76758 76868 76982 77091 77205 77317 77428 77541 77650 77761 77872 77982 78092 78202 78310 78420 78530 78639 78748 78856 78966 79075 79181 79289 79396 79504 79611 79716 79823 79929 80035 80143 80250 80357 80463 80571 80677 80784 80891 81001 81108 81215 81323 81429 81534 81638 81737 81837 81931 82022 82110 82194 82275 82351 82420 82483 82541 82590 82628 82657 82670 82670 82652 82615 82556 82473 82364 82231 82072 81897 81714 81537 81385 81289 81267 81339 81513 81783 82133 82538 82971 83407 83830 84232 84603 84946 85260 85547 85810 86054 86280 86497 86702 86901 87094 87283 87466 87645 87817 87982 88142 88295 88442 88586 88725 88859 88990 89116 89238 89355 89469 89580 89688 89795 89899 90004 90107 90210 90312 90412 90508 90605 90701 90795 90889 90988 91086 91190 91295 91400 91508 91614 91722 91829 91937 92043 92150 92258 92366 92475 92586 92696 92809 92920 93033 93144 93257 93368 93479 93591 93701 93811 93923 94037 94152 94269 94389 94511 94635 94759 94883 95007 95130 95253 95376 95497 95620 95743 95864 95988 96110 96231 96353 96473 96591 96707 96822 96935 97049 97159 97271 97379 97492 97603 97712 97821 97930 98038 98146 98250 98355 98459 98560 98662 98761 98860 98955 99047 99134 99218 99299 99374 99446 ;
2023-05-12_135830;35;3572;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;4.677116e-02;-2.384186e-03;-2.377555e-01;70531 70656 70780 70905 71028 71153 71276 71399 71521 71644 71766 71886 72007 72128 72249 72368 72488 72606 72725 72844 72964 73080 73198 73315 73433 73550 73666 73783 73899 74016 74133 74247 74363 74478 74593 74708 74823 74937 75050 75163 75274 75387 75500 75612 75722 75833 75944 76053 76164 76274 76385 76494 76605 76717 76828 76940 77051 77161 77273 77384 77495 77604 77716 77826 77937 78045 78154 78264 78372 78481 78589 78698 78805 78914 79021 79129 79236 79341 79447 79554 79660 79766 79872 79978 80083 80189 80295 80401 80507 80613 80719 80827 80933 81040 81145 81254 81359 81465 81569 81669 81766 81862 81953 82041 82124 82205 82281 82350 82415 82471 82519 82558 82587 82601 82601 82583 82547 82489 82405 82298 82166 82009 81835 81651 81475 81326 81229 81208 81280 81453 81725 82075 82479 82911 83347 83771 84171 84542 84883 85196 85484 85747 85992 86218 86433 86636 86835 87028 87218 87400 87580 87751 87916 88077 88230 88378 88522 88658 88794 88923 89050 89171 89289 89403 89515 89623 89729 89833 89935 90039 90140 90240 90339 90438 90535 90630 90724 90818 90915 91015 91117 91222 91327 91432 91540 91645 91752 91858 91965 92071 92178 92286 92394 92504 92615 92727 92839 92950 93062 93173 93286 93398 93509 93620 93730 93845 93958 94073 94191 94312 94434 94557 94681 94806 94932 95055 95179 95302 95424 95547 95669 95791 95914 96040 96162 96285 96405 96523 96643 96761 96874 96989 97101 97214 97327 97440 97552 97663 97777 97886 97996 98105 98211 98317 98421 98526 98630 98731 98830 98929 99024 99113 99200 99280 99358 99433 ;
2023-05-12_135840;36;3577;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;1.725790e-01;6.854535e-03;1.872399e+00;70427 70553 70677 70800 70925 71048 71172 71295 71418 71538 71661 71784 71903 72024 72144 72264 72382 72502 72621 72740 72858 72975 73094 73210 73328 73445 73562 73678 73795 73911 74027 74144 74259 74373 74488 74604 74719 74834 74946 75059 75172 75283 75396 75507 75619 75730 75841 75951 76062 76171 76282 76394 76505 76616 76727 76837 76949 77060 77173 77283 77395 77507 77617 77728 77838 77949 78057 78166 78276 78387 78497 78607 78715 78825 78935 79043 79151 79260 79366 79475 79582 79690 79797 79905 80014 80121 80230 80338 80446 80554 80662 80772 80881 80990 81098 81208 81317 81423 81528 81630 81729 81827 81920 82010 82096 82179 82256 82327 82393 82451 82501 82541 82572 82589 82590 82575 82538 82481 82401 82294 82163 82008 81835 81655 81478 81329 81234 81210 81285 81459 81731 82081 82486 82918 83354 83778 84178 84551 84895 85208 85497 85762 86004 86235 86449 86656 86855 87049 87239 87424 87603 87774 87942 88102 88257 88406 88550 88689 88824 88955 89083 89205 89324 89441 89553 89662 89768 89875 89978 90083 90185 90286 90388 90487 90584 90679 90774 90872 90970 91070 91173 91276 91384 91492 91597 91706 91810 91917 92023 92130 92235 92343 92451 92560 92671 92780 92891 93003 93113 93224 93336 93447 93556 93665 93776 93888 94001 94114 94230 94349 94469 94591 94714 94838 94962 95086 95208 95329 95451 95573 95694 95817 95939 96062 96184 96305 96427 96544 96661 96777 96889 97002 97113 97225 97334 97445 97555 97664 97772 97881 97989 98096 98199 98302 98402 98504 98604 98702 98800 98895 98986 99074 99157 99235 99309 99378 ;
2023-05-12_135850;37;3597;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;9.915566e-02;2.682209e-03;1.057078e+00;70428 70551 70677 70802 70925 71049 71173 71297 71420 71541 71663 71784 71906 72025 72146 72267 72386 72505 72623 72743 72862 72978 73096 73215 73332 73449 73566 73683 73800 73918 74033 74148 74265 74379 74495 74612 74724 74840 74953 75067 75180 75294 75405 75517 75629 75741 75851 75962 76073 76184 76294 76406 76517 76629 76742 76853 76965 77077 77189 77300 77412 77524 77637 77748 77858 77969 78078 78188 78297 78407 78518 78628 78737 78846 78955 79063 79172 79279 79385 79493 79599 79706 79814 79920 80026 80133 80239 80346 80452 80559 80665 80773 80881 80988 81095 81202 81307 81412 81516 81618 81714 81811 81902 81992 82078 82157 82233 82303 82367 82423 82472 82511 82540 82555 82555 82538 82502 82444 82362 82256 82123 81968 81793 81611 81434 81287 81188 81168 81239 81412 81682 82031 82435 82867 83301 83722 84121 84491 84833 85145 85430 85693 85936 86165 86377 86582 86779 86970 87158 87340 87518 87689 87852 88011 88162 88309 88451 88589 88723 88853 88977 89098 89215 89329 89440 89547 89652 89754 89856 89958 90059 90158 90255 90353 90448 90543 90638 90733 90829 90928 91028 91131 91237 91342 91448 91556 91659 91765 91870 91976 92082 92188 92297 92405 92515 92625 92734 92846 92956 93068 93179 93290 93400 93508 93620 93730 93843 93956 94072 94188 94308 94431 94553 94676 94798 94921 95042 95164 95284 95405 95525 95646 95768 95891 96012 96133 96252 96369 96487 96601 96715 96827 96938 97047 97157 97267 97376 97486 97596 97704 97812 97918 98023 98126 98230 98332 98433 98533 98631 98728 98822 98912 98996 99079 99155 99227 ;
2023-05-12_135900;38;3600;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;1.158385e-01;1.490116e-03;5.267836e-01;70414 70539 70664 70787 70912 71035 71158 71282 71404 71524 71647 71768 71891 72010 72129 72247 72366 72486 72604 72722 72841 72959 73075 73191 73307 73424 73541 73658 73774 73890 74004 74120 74235 74350 74464 74578 74692 74806 74920 75032 75145 75257 75367 75479 75589 75699 75811 75921 76030 76140 76251 76361 76471 76582 76692 76803 76913 77024 77135 77247 77356 77467 77577 77688 77798 77905 78016 78124 78231 78340 78449 78558 78666 78775 78883 78988 79095 79202 79308 79413 79518 79625 79731 79835 79943 80046 80150 80256 80361 80468 80573 80679 80785 80891 80997 81103 81206 81311 81411 81513 81609 81703 81795 81883 81966 82046 82120 82188 82252 82307 82357 82397 82422 82436 82434 82416 82379 82319 82236 82127 81996 81838 81662 81479 81302 81151 81053 81029 81100 81273 81539 81887 82289 82719 83153 83574 83973 84342 84682 84992 85278 85541 85784 86010 86224 86428 86626 86818 87007 87189 87367 87535 87700 87857 88010 88157 88299 88437 88570 88699 88826 88947 89065 89178 89289 89396 89504 89606 89709 89809 89913 90013 90113 90213 90309 90404 90500 90597 90694 90796 90898 91002 91109 91217 91322 91431 91539 91646 91753 91860 91968 92076 92186 92295 92407 92520 92633 92745 92858 92970 93083 93195 93309 93420 93532 93644 93758 93873 93991 94110 94231 94355 94478 94604 94728 94852 94975 95098 95220 95342 95462 95585 95709 95830 95951 96073 96193 96313 96429 96544 96658 96769 96880 96993 97103 97214 97323 97433 97541 97649 97758 97864 97967 98071 98173 98275 98377 98475 98573 98668 98761 98852 98936 99018 99091 99165 ;
